fold,target,model,n_test,base_rate,top1_rate,top1_lift,top100_hits,auc,ap
A,5,live_core,30087,0.0042210921660517835,0.07333333333333333,17.37307086614173,8,0.9268075281477666,0.05917506898799904
A,5,full_reference,30087,0.0042210921660517835,0.05,11.84527559055118,2,0.9393468193812223,0.046808653407864546
A,10,live_core,30087,0.0006315019775982982,0.0033333333333333335,5.27842105263158,1,0.7069808434215777,0.0026218802916658044
A,10,full_reference,30087,0.0006315019775982982,0.01,15.835263157894738,1,0.9245893518550934,0.01225468124341114
A,25,live_core,30087,0.0001994216771363047,0.0033333333333333335,16.715,0,0.44217834070232587,0.0010310420863181198
A,25,full_reference,30087,0.0001994216771363047,0.0033333333333333335,16.715,0,0.9178218809215118,0.002422643943591838
A,100,live_core,30087,0.00013294778475753647,0.0,0.0,0,0.7270800784496227,0.00028983114059363943
A,100,full_reference,30087,0.00013294778475753647,0.0033333333333333335,25.0725,0,0.7199498055380115,0.0020082306561331467
B,5,live_core,29864,0.0047548888293597645,0.09731543624161074,20.466395689573684,7,0.9330003809953457,0.06536049278731075
B,5,full_reference,29864,0.0047548888293597645,0.22818791946308725,47.990169203138294,51,0.9552955983664587,0.33613950454362057
B,10,live_core,29864,0.0005022769890168765,0.003355704697986577,6.680984340044743,1,0.709047762627447,0.0021594859739493487
B,10,full_reference,29864,0.0005022769890168765,0.006711409395973154,13.361968680089486,1,0.9225501691848973,0.007974883052295045
B,25,live_core,29864,0.0001674256630056255,0.0,0.0,0,0.8835024615693761,0.0012606264785241944
B,25,full_reference,29864,0.0001674256630056255,0.006711409395973154,40.08590604026846,1,0.640882146086607,0.009669734262793035
B,100,live_core,29864,0.0001004553978033753,0.0,0.0,0,0.40224707812866284,0.0001129209505522107
B,100,full_reference,29864,0.0001004553978033753,0.006711409395973154,66.80984340044743,2,0.9915385731667838,0.016543890700296097
C,5,live_core,30589,0.022066756023407106,0.08196721311475409,3.7145112325440195,7,0.7731301830680047,0.05692739565319466
C,5,full_reference,30589,0.022066756023407106,0.09836065573770492,4.457413479052823,19,0.8176599090231503,0.08025384060554071
C,10,live_core,30589,0.008663244957337606,0.03934426229508197,4.5415156201670275,2,0.7208809635807493,0.0188199527840484
C,10,full_reference,30589,0.008663244957337606,0.019672131147540985,2.2707578100835137,4,0.8223099332243221,0.029520739825521045
C,25,live_core,30589,0.002484553270783615,0.01639344262295082,6.598144952545297,1,0.6245332015517113,0.0054501247226908175
C,25,full_reference,30589,0.002484553270783615,0.019672131147540985,7.917773943054358,2,0.620171385104192,0.008844843939539361
C,100,live_core,30589,0.00042498937526561835,0.003278688524590164,7.714754098360656,0,0.57385380187578,0.0012457003523119506
C,100,full_reference,30589,0.00042498937526561835,0.009836065573770493,23.14426229508197,0,0.7552668256651773,0.004734389820055838
D,5,live_core,59944,0.024472841318563993,0.07679465776293823,3.1379543046636464,10,0.7905542748651323,0.06801757303289571
D,5,full_reference,59944,0.024472841318563993,0.17362270450751252,7.09450538445694,19,0.8310636559151968,0.09910048061497627
D,10,live_core,59944,0.009275323635393034,0.02003338898163606,2.1598587574014245,3,0.7915580649240963,0.026389470797774532
D,10,full_reference,59944,0.009275323635393034,0.0651085141903172,7.01954096155463,6,0.8488567349797673,0.044580311616305324
D,25,live_core,59944,0.0028860269584945948,0.00333889816360601,1.15691856369479,1,0.6821546165166222,0.006623138298461074
D,25,full_reference,59944,0.0028860269584945948,0.01335559265442404,4.62767425477916,1,0.7635598700744453,0.00976038766144237
D,100,live_core,59944,0.0005338315761377286,0.0,0.0,0,0.6221888457237281,0.0009974850917761763
D,100,full_reference,59944,0.0005338315761377286,0.00333889816360601,6.254590984974958,0,0.6702210116504206,0.0021031596905169672
